Subsystem,Section,Subteam,Project,Part,Mass Margin (%),Component Mass % Relative to Vehicle,Component Mass % Without PV,Mass Allotted (lbs),Minimum Mass Allotted (lbs),Maximum Mass Allotted (lbs),kg,Mass Measured (lbs),Mass Measured (kg),Mass Allotted (kg),Minimum Mass Allotted (kg),Maximum Mass Allotted (kg),Notes,length,outerDiameter,startDiameter,endDiameter,Tip Position x (m),Tip Position y (m),Tip Position z (m),CGx (m),CGy (m),CGz (m),Rocket CGz (m),Radial CG (m),Theta (degrees),Length (in),Diam/Width (in),Tip Position (in),CGx (in),CGy (in),CGz (in),CGz (in),Radial CG (in),MOIx (kg m^2),MOIy (kg m^2),MOIz (kg m^2),Shape,surfaceRoughness,class,Wet Mass Allocation,Dry Mass Allocation
,,,,Fin Can,,6.24%,7.80%,6.0000,6.0000,6.0000,2.7216,7.3200,3.320296148,2.72155422,2.72155422,2.72155422,tube_findCan_lower,0.8350504,0.1707896,,,0,0,3.6797742,0,0,-0.48,,,,,,,,,,,,0.02367962,0.204061,0.204061,Cylindrical,,Bodytube,3.72%,4.41%
,,,,Estimate,10.00%,0.00%,0.00%,4.0000,3.6000,4.4000,1.8144,,0,1.81436948,1.632932532,1.995806428,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,None,,
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avionics,Total,1.50,,0.00%,0.00%,,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Lower Avionics,Total,1.50,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Avionics with Enclosure,10.00%,0.00%,0.00%,1.5000,1.3500,1.6500,0.6804,,0,0.680388555,0.6123496995,0.7484274105,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.76%,0.90%
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Propulsion,Total,20.69,,0.00%,0.00%,,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Fuel Grain,Total,0.00,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Fuel Grain casing With Mixing Plate,,5.51%,6.89%,,0.0000,0.0000,,6.4606,2.930497009,0,0,0,,0.5,0.15,,,0,0,,0,0,-0.26,,,,,,,,,,,,0.02000356,0.1329268,0.1329268,Cylindrical,,Mass,3.28%,3.89%
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Combustion Chamber,Total,7.33,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Chamber,10.00%,4.48%,5.60%,7.3307775,6.5977,8.0639,3.3252,5.2557,2.383961603,3.32518474,2.992666266,3.657703214,combustionChamber_lower,0.6,0.15,,,0,0,3.87,0,0,-0.3,0.3,0,0,23.62204724,5.905511811,0,0,0,-11.81102362,11.81102362,0,0.01327931,0.07661057,0.07661057,Cylindrical,,Mass,2.67%,3.17%
,,,Nozzle,Total,3.61,0.00%,0.00%,,0.0000,0.0000,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Nozzle,10.00%,3.42%,4.27%,3.61,3.249,3.971,1.3400,4.0071855,1.817628768,1.637468456,1.47372161,1.801215301,IAC_FlightNozzle,0.1100328,,0.1266952,0.0983996,0,0,4.5146722,0,0,-0.04,0.04,0,0,4.332,0,0,0,0,-1.57480315,1.57480315,0,0.00332133,0.00332133,0.00408105,Cylindrical,,Mass,2.04%,2.41%
,,,Nozzle Housing,Total,6.50,0.00%,0.00%,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
