Time (s),Injector Temp (C),NOX Pressure (PSI),Ox Tank Load Cell (kg),Thrust Load Cell (lbf),Chamber Pressure (PSI),Light Sensor (V),Nitrous Bottle (PSI),Comment
1639.12,21.938559,669.980396,-7.045392,31.69408,9.519672,0.505406,510.643908,
1639.121,21.49558,671.260924,-7.012572,31.399024,7.468542,0.496875,509.946186,
1639.122,22.292942,673.427973,-7.023512,32.579251,7.263429,0.493594,512.285606,
1639.123,22.292942,671.293758,-7.023512,32.185842,7.550587,0.496875,517.333828,
1639.124,21.141197,672.771291,-7.056332,31.399024,8.412062,0.497859,510.356611,
1639.125,22.292942,673.986152,-7.034452,31.202319,9.027401,0.496219,512.080394,
1639.126,21.318388,672.607121,-7.012572,31.890785,8.165926,0.502125,513.845219,
1639.127,21.451282,675.98903,-7.012572,31.792433,7.140361,0.506391,514.707111,
1639.128,22.780219,671.293758,-7.045392,30.907263,7.427519,0.503438,509.33055,
1639.129,21.584176,672.344448,-7.034452,32.579251,9.068423,0.534938,511.423715,
1639.13,21.539878,669.323714,-7.012572,31.792433,7.673655,0.52936,512.039351,
1639.131,21.584176,670.604243,-7.034452,33.661125,6.730135,0.537563,514.091474,
1639.132,21.406984,672.672789,-7.001632,32.874307,8.124904,0.542814,510.84912,
1639.133,20.87541,673.559309,-7.034452,32.382546,8.69922,0.53986,507.853022,
1639.134,21.849963,672.541453,-7.023512,32.775955,9.150469,0.536907,510.767035,
1639.135,22.95741,673.986152,-7.001632,34.546295,8.124904,0.531657,513.722092,
1639.136,22.470133,676.678546,-7.034452,34.251238,6.566045,0.513282,508.181361,
1639.137,21.982857,672.344448,-7.056332,32.874307,8.247971,0.496219,508.673871,
1639.138,21.938559,672.475785,-7.023512,31.989137,9.929898,0.480796,511.834139,
1639.139,21.451282,671.162422,-7.023512,31.103967,7.919791,0.498516,509.823059,
1639.14,21.229793,675.759192,-7.056332,32.284194,6.853203,0.499828,510.561823,
1639.141,21.849963,671.95044,-7.012572,31.890785,8.124904,0.487687,514.501899,
1639.142,22.868814,669.947562,-7.045392,31.399024,8.001836,0.502125,509.740974,
1639.143,21.141197,675.135344,-7.034452,30.80891,8.453084,0.481453,508.591786,
1639.144,22.470133,676.120367,-7.012572,32.480898,8.658197,0.522469,515.199621,
1639.145,21.185495,672.147444,-7.045392,31.69408,7.427519,0.536251,513.475837,
1639.146,21.49558,674.577165,-7.045392,32.382546,9.191491,0.535923,512.696031,
1639.147,22.647325,674.478663,-7.012572,32.382546,9.314559,0.540517,512.572903,
1639.148,22.071452,673.099632,-7.023512,31.399024,7.919791,0.536579,511.546842,
1639.149,21.229793,675.036842,-7.034452,32.382546,8.453084,0.541501,514.871281,
1639.15,21.406984,673.624977,-7.045392,33.169364,6.935248,0.53297,508.181361,
1639.151,21.318388,673.592143,-7.012572,32.775955,9.970921,0.523782,512.737073,
1639.152,20.831112,673.099632,-7.023512,33.562773,8.083881,0.51361,507.401555,
1639.153,21.584176,672.574287,-7.001632,33.267716,7.7557,0.506391,509.043253,
1639.154,20.742516,672.968296,-7.001632,31.890785,8.206949,0.504422,510.397653,
1639.155,21.717069,669.455051,-7.056332,27.956696,7.632632,0.493922,509.535762,
1639.156,22.160048,672.935462,-7.001632,31.497376,8.822288,0.479812,512.367691,
